,Reading,,Math,,Writing,,
Montana State University-Northern,413,498,423,520,360,485,Montana
Montana Tech,480,590,500,630,450,580,Montana
Rocky Mountain College,440,540,450,550,NA,NA,Montana
Salish Kootenai College,NA,NA,NA,NA,NA,NA,Montana
University of Montana,480,600,470,600,460,580,Montana
University of Montana-Western,NA,NA,NA,NA,NA,NA,Montana
University of Great Falls,NA,NA,NA,NA,NA,NA,Montana
Bellevue University,NA,NA,NA,NA,NA,NA,Nebraska
Bryan College of Health Sciences,NA,NA,NA,NA,NA,NA,Nebraska
Chadron State College,NA,NA,NA,NA,NA,NA,Nebraska
Clarkson College,NA,NA,NA,NA,NA,NA,Nebraska
College of Saint Mary,NA,NA,NA,NA,NA,NA,Nebraska
Concordia University-Seward,460,570,490,610,NA,NA,Nebraska
Creighton University,530,630,540,660,520,630,Nebraska
Doane College-Crete,NA,NA,NA,NA,NA,NA,Nebraska
Grace University,500,620,430,560,NA,NA,Nebraska
Hastings College,440,580,490,590,NA,NA,Nebraska
Midland University,NA,NA,NA,NA,NA,NA,Nebraska
Nebraska Methodist College of Nursing,460,461,530,531,520,521,Nebraska
Nebraska Wesleyan University,NA,NA,NA,NA,NA,NA,Nebraska
Peru State College,NA,NA,NA,NA,NA,NA,Nebraska
Union College,430,590,420,550,NA,NA,Nebraska
University of Nebraska at Kearney,470,580,510,610,NA,NA,Nebraska
University of Nebraska at Lincoln,510,660,540,680,NA,NA,Nebraska
University of Nebraska at Omaha,NA,NA,NA,NA,NA,NA,Nebraska
Wayne State College,NA,NA,NA,NA,NA,NA,Nebraska
York College,420,520,380,470,NA,NA,Nebraska
College of Southern Nevada,NA,NA,NA,NA,NA,NA,Nevada
Great Basin College,NA,NA,NA,NA,NA,NA,Nevada
Nevada State College,NA,NA,NA,NA,NA,NA,Nevada
Sierra Nevada College,NA,NA,NA,NA,NA,NA,Nevada
University of Nevada-Las Vegas,440,550,440,560,NA,NA,Nevada
University of Nevada-Reno,470,580,480,600,450,560,Nevada
Western Nevada College,NA,NA,NA,NA,NA,NA,Nevada
Colby-Sawyer College,NA,NA,NA,NA,NA,NA,New Hampshire
Dartmouth College,670,780,680,780,680,790,New Hampshire
Franklin Pierce University,440,530,440,550,420,520,New Hampshire
Granite State College,NA,NA,NA,NA,NA,NA,New Hampshire
Keene State College,440,540,440,540,440,530,New Hampshire
New England College,NA,NA,NA,NA,NA,NA,New Hampshire
Plymouth State University,440,520,440,540,420,520,New Hampshire
Rivier College,420,500,400,520,420,510,New Hampshire
Saint Anselm College,510,600,520,610,510,600,New Hampshire
Southern New Hampshire University,440,540,450,560,440,530,New Hampshire
UNH Durham,490,590,500,610,NA,NA,New Hampshire
UNH Manchester,470,570,470,580,440,550,New Hampshire
Caldwell College,410,500,410,520,410,510,New Jersey
Centenary College,400,500,400,490,NA,NA,New Jersey
College of New Jersey,550,650,580,680,560,670,New Jersey
Drew University,490,620,480,600,490,610,New Jersey
Fairleigh Dickinson - Florham,450,560,460,570,450,560,New Jersey
Fairleigh Dickinson - Metropolitan,440,530,460,560,440,640,New Jersey
Georgian Court University,NA,NA,NA,NA,NA,NA,New Jersey
Kean University,410,500,430,520,NA,NA,New Jersey
Monmouth University,470,560,490,580,490,580,New Jersey
Montclair State University,440,530,460,540,450,540,New Jersey
NJIT,470,600,550,660,470,590,New Jersey
Princeton University,700,790,710,800,710,800,New Jersey
Ramapo College,490,600,510,620,500,600,New Jersey
Richard Stockton College,470,570,500,600,470,570,New Jersey
Rider University,420,500,400,520,420,510,New Jersey
Rowan University,480,590,510,630,480,580,New Jersey
"Rutgers University, Camden",460,560,470,570,460,560,New Jersey
"Rutgers University, New Brunswick",520,630,560,680,540,650,New Jersey
"Rutgers University, Newark",460,550,490,590,470,560,New Jersey
Saint Peter's College,410,510,410,520,410,510,New Jersey
Seton Hall University,490,590,510,610,490,600,New Jersey
Stevens Institute of Technology,570,670,640,720,NA,NA,New Jersey
William Paterson University,450,550,470,550,NA,NA,New Jersey
Eastern New Mexico University,390,525,410,530,NA,NA,New Mexico
Navajo Technical College,NA,NA,NA,NA,NA,NA,New Mexico
New Mexico Highlands University,NA,NA,NA,NA,NA,NA,New Mexico
New Mexico State University,420,560,430,560,420,540,New Mexico
New Mexico Tech,550,670,590,700,NA,NA,New Mexico
Northern New Mexico College,NA,NA,NA,NA,NA,NA,New Mexico
St. John's College,NA,NA,NA,NA,NA,NA,New Mexico
University of New Mexico,470,600,470,590,NA,NA,New Mexico
University of the Southwest,NA,NA,NA,NA,NA,NA,New Mexico
Western New Mexico University,NA,NA,NA,NA,NA,NA,New Mexico
Barnard,630,730,620,710,650,760,New York
Binghamton,600,680,620,710,580,670,New York
Colgate,630,730,640,720,NA,NA,New York
Columbia,700,780,700,790,700,790,New York
Cooper Union,610,720,650,780,620,730,New York
Cornell,640,740,670,780,NA,NA,New York
Hamilton,650,740,650,740,650,740,New York
NYU,620,710,630,740,640,730,New York
RPI,610,700,660,760,590,690,New York
Rochester,600,700,640,740,600,700,New York
SUNY Geneseo,590,690,600,690,NA,NA,New York
Vassar,660,750,650,740,650,750,New York
Appalachian State,520,610,530,620,500,590,North Carolina
Davidson College,620,720,640,720,620,720,North Carolina
Duke University,660,750,690,780,670,770,North Carolina
Elon University,570,660,560,660,570,670,North Carolina
Guilford College,480,620,490,660,460,600,North Carolina
High Point University,497,589,507,609,487,589,North Carolina
Meredith College,450,560,460,560,NA,NA,North Carolina
NC State,530,620,560,660,510,610,North Carolina
Salem College,510,620,490,590,NA,NA,North Carolina
UNC Asheville,540,640,530,620,510,630,North Carolina
UNC Chapel Hill,590,700,610,700,590,690,North Carolina
UNC School of the Arts,510,630,470,600,500,600,North Carolina
UNC Wilmington,540,620,550,630,520,600,North Carolina
Wake Forest,NA,NA,NA,NA,NA,NA,North Carolina
Warren Wilson,500,650,480,590,510,620,North Carolina
Bismarck State College,NA,NA,NA,NA,NA,NA,North Dakota
Dickinson State University,390,525,400,510,370,460,North Dakota
Jamestown College,390,510,420,550,NA,NA,North Dakota
Mayville State University,NA,NA,NA,NA,NA,NA,North Dakota
Minot State University,440,530,450,563,420,500,North Dakota
North Dakota State University,480,610,490,620,NA,NA,North Dakota
Sitting Bull College,NA,NA,NA,NA,NA,NA,North Dakota
Trinity Bible College,NA,NA,NA,NA,NA,NA,North Dakota
University of Mary,410,579,479,678,NA,NA,North Dakota
University of North Dakota,470,585,500,620,460,570,North Dakota
Valley City State University,400,500,400,520,NA,NA,North Dakota
Case Western,600,720,660,760,600,700,Ohio
College of Wooster,540,660,540,660,540,660,Ohio
Denison,600,720,600,680,NA,NA,Ohio
Kenyon,630,730,610,680,630,720,Ohio
Miami University,530,630,550,660,NA,NA,Ohio
Oberlin,640,740,620,720,630,730,Ohio
Ohio Northern,510,620,540,660,505,630,Ohio
Ohio State,540,650,610,710,550,650,Ohio
University of Dayton,510,620,530,640,NA,NA,Ohio
Xavier,500,600,500,600,488,600,Ohio
Bacone College,365,408,460,490,NA,NA,Oklahoma
Cameron University,NA,NA,NA,NA,NA,NA,Oklahoma
East Central University,410,480,470,560,NA,NA,Oklahoma
Langston University,NA,NA,NA,NA,NA,NA,Oklahoma
Mid-America Christian University,NA,NA,NA,NA,NA,NA,Oklahoma
Northeastern State University,NA,NA,NA,NA,NA,NA,Oklahoma
Northwestern Oklahoma State University,440,520,410,520,NA,NA,Oklahoma
Oklahoma Baptist University,480,610,470,490,NA,NA,Oklahoma
Oklahoma Christian University,440,620,470,640,470,600,Oklahoma
Oklahoma City University,490,620,500,620,480,600,Oklahoma
Oklahoma Panhandle State University,340,450,370,500,NA,NA,Oklahoma
Oklahoma State University,490,590,510,620,NA,NA,Oklahoma
Oklahoma State University-Oklahoma City,NA,NA,NA,NA,NA,NA,Oklahoma
Oklahoma Wesleyan University,370,510,430,560,370,480,Oklahoma
Oral Roberts University,463,590,450,580,NA,NA,Oklahoma
Rogers State University,NA,NA,NA,NA,NA,NA,Oklahoma
Saint Gregorys University,NA,NA,NA,NA,NA,NA,Oklahoma
Southeastern Oklahoma State University,NA,NA,NA,NA,NA,NA,Oklahoma
Southern Nazarene University,NA,NA,NA,NA,NA,NA,Oklahoma
Southwestern Christian University,420,575,440,605,410,570,Oklahoma
Southwestern Oklahoma State University,NA,NA,NA,NA,NA,NA,Oklahoma
University of Central Oklahoma,NA,NA,NA,NA,NA,NA,Oklahoma
University of Oklahoma,510,640,540,660,NA,NA,Oklahoma
University of Science and Arts of Oklahoma,NA,NA,410,540,430,520,Oklahoma
University of Tulsa,570,710,590,700,NA,NA,Oklahoma
Concordia University,450,560,460,580,NA,NA,Oregon
Corban University,470,600,460,580,450,570,Oregon
Eastern Oregon University,420,550,410,550,400,520,Oregon
George Fox University,490,630,500,620,470,600,Oregon
Lewis & Clark College,NA,NA,NA,NA,NA,NA,Oregon
Linfield College,480,590,490,600,460,575,Oregon
Oregon Tech,440,550,460,570,420,510,Oregon
Oregon State,470,600,490,620,NA,NA,Oregon
Pacific University,500,600,500,620,NA,NA,Oregon
Portland State University,460,590,460,580,NA,NA,Oregon
Reed College,670,770,630,720,650,740,Oregon
Southern Oregon University,450,590,440,560,430,560,Oregon
University of Oregon,492,610,501,613,NA,NA,Oregon
University of Portland,540,650,550,640,NA,NA,Oregon
Warner Pacific College,450,580,410,540,420,540,Oregon
Western Oregon University,410,530,410,530,310,520,Oregon
Willamette University,560,680,560,660,540,650,Oregon
Allegheny,540,650,560,650,NA,NA,Pennsylvania
Bryn Mawr,600,710,590,720,610,710,Pennsylvania
Bucknell,590,690,620,720,600,690,Pennsylvania
Carnegie Mellon,630,730,690,790,650,740,Pennsylvania
Dickinson,590,690,600,690,590,690,Pennsylvania
Franklin and Marshall,NA,NA,NA,NA,NA,NA,Pennsylvania
Gettysburg,600,690,610,670,NA,NA,Pennsylvania
Grove City,560,670,560,670,NA,NA,Pennsylvania
Haverford,650,760,660,760,670,760,Pennsylvania
Juniata,520,640,540,650,520,610,Pennsylvania
Lafayette,580,680,610,710,580,680,Pennsylvania
Lehigh,570,670,630,730,NA,NA,Pennsylvania
Muhlenberg,560,680,560,680,560,680,Pennsylvania
Penn,660,760,690,780,680,770,Pennsylvania
Penn State,530,630,560,670,540,640,Pennsylvania
Pitt,570,690,600,690,560,660,Pennsylvania
Swarthmore,680,780,670,770,680,770,Pennsylvania
Ursinus,540,650,540,660,540,630,Pennsylvania
Villanova,590,680,610,710,590,690,Pennsylvania
Brown University,660,760,660,770,670,780,Rhode Island
Bryant University,500,590,535,630,500,590,Rhode Island
Johnson & Wales University,NA,NA,NA,NA,NA,NA,Rhode Island
New England Tech,NA,NA,NA,NA,NA,NA,Rhode Island
Providence College,520,630,530,640,540,640,Rhode Island
Rhode Island College,420,520,410,520,420,520,Rhode Island
Rhode Island School of Design,550,670,570,690,560,680,Rhode Island
Roger Williams University,NA,NA,NA,NA,NA,NA,Rhode Island
Salve Regina University,510,590,520,600,510,600,Rhode Island
University of Rhode Island,470,570,480,590,470,570,Rhode Island
Anderson University,470,588,470,590,NA,NA,South Carolina
Charleston Southern University,430,570,430,530,NA,NA,South Carolina
The Citadel,480,580,500,590,450,560,South Carolina
Claflin University,380,490,380,490,NA,NA,South Carolina
Clemson University,550,650,590,680,490,590,South Carolina
Coastal Carolina University,450,540,460,560,NA,NA,South Carolina
College of Charleston,540,650,540,630,NA,NA,South Carolina
Columbia International University,500,620,480,590,480,590,South Carolina
Converse College,470,600,460,570,NA,NA,South Carolina
Erskine College,440,565,460,570,NA,NA,South Carolina
Furman University,560,650,560,670,NA,NA,South Carolina
North Greenville University,470,680,490,670,470,660,South Carolina
Presbyterian College,480,590,495,600,470,580,South Carolina
South Carolina State,370,440,380,450,NA,NA,South Carolina
USC Aiken,440,540,440,550,NA,NA,South Carolina
USC Beaufort,420,510,420,520,NA,NA,South Carolina
USC Columbia,540,640,560,650,NA,NA,South Carolina
USC Upstate,430,530,450,530,NA,NA,South Carolina
Winthrop University,460,580,470,570,NA,NA,South Carolina
Wofford College,540,650,560,670,530,630,South Carolina
Augustana College,NA,NA,NA,NA,NA,NA,South Dakota
Black Hills State University,NA,NA,NA,NA,NA,NA,South Dakota
Dakota State University,420,550,460,560,NA,NA,South Dakota
Dakota Wesleyan University,420,600,400,600,NA,NA,South Dakota
Mount Marty College,NA,NA,NA,NA,NA,NA,South Dakota
Northern State University,430,560,470,550,NA,NA,South Dakota
Oglala Lakota College,NA,NA,NA,NA,NA,NA,South Dakota
Presentation College,380,450,350,480,330,430,South Dakota
Sinte Gleska University,NA,NA,NA,NA,NA,NA,South Dakota
South Dakota School of Mines,470,610,520,660,NA,NA,South Dakota
South Dakota State University,430,530,450,580,NA,NA,South Dakota
University of Sioux Falls,400,490,490,540,NA,NA,South Dakota
University of South Dakota,460,610,460,620,460,600,South Dakota
Belmont University,540,640,530,630,NA,NA,Tennessee
Fisk University,410,540,400,570,400,570,Tennessee
Lipscomb University,500,630,500,620,NA,NA,Tennessee
Maryville College,440,580,440,530,420,560,Tennessee
Milligan College,485,600,460,590,450,590,Tennessee
Rhodes College,570,690,580,680,560,680,Tennessee
Sewanee: The University of the South,590,690,580,660,570,660,Tennessee
Tennessee Tech,470,620,490,630,NA,NA,Tennessee
Union University,520,670,510,690,NA,NA,Tennessee
University of Tennessee,530,640,530,650,NA,NA,Tennessee
Vanderbilt University,690,770,710,790,670,770,Tennessee
Austin College,560,660,570,670,530,650,Texas
Baylor,550,660,570,670,530,650,Texas
Rice,660,750,700,780,660,760,Texas
St. Edwards,510,620,510,610,490,603,Texas
Southern Methodist (SMU),590,680,600,690,570,680,Texas
Southwestern,530,660,550,650,NA,NA,Texas
Texas A&M,520,640,560,670,500,610,Texas
Texas Christian,530,630,550,650,550,650,Texas
Texas Tech,500,590,520,620,470,570,Texas
Trinity University,570,680,580,670,NA,NA,Texas
University of Dallas,550,670,530,640,530,660,Texas
UT Austin,550,670,580,710,540,680,Texas
UT Dallas,560,680,600,710,NA,NA,Texas
Brigham Young University,580,690,590,690,NA,NA,Utah
Dixie State College of Utah,NA,NA,NA,NA,NA,NA,Utah
Southern Utah University,460,560,460,570,430,540,Utah
University of Utah,510,620,510,650,490,610,Utah
Utah State Universtiy,470,620,490,610,NA,NA,Utah
Utah Valley University,NA,NA,NA,NA,NA,NA,Utah
Weber State University,NA,NA,NA,NA,NA,NA,Utah
Western Governers University,NA,NA,NA,NA,NA,NA,Utah
Westminster College,500,613,500,620,NA,NA,Utah
Bennington College,NA,NA,NA,NA,NA,NA,Vermont
Burlington College,NA,NA,NA,NA,NA,NA,Vermont
Castleton State College,430,530,440,540,420,510,Vermont
Champlain College,490,610,480,600,480,590,Vermont
Green Mountain College,490,620,460,570,490,600,Vermont
Johnson State College,410,560,410,520,400,530,Vermont
Lyndon State College,410,520,410,520,400,510,Vermont
Marlboro College,NA,NA,NA,NA,NA,NA,Vermont
Middlebury College,640,740,650,740,650,760,Vermont
Norwich University,480,580,500,600,460,570,Vermont
Saint Michael's College,530,630,520,620,520,620,Vermont
University of Vermont,540,640,550,640,540,640,Vermont
Vermont Technical College,400,510,430,540,390,480,Vermont
Christopher Newport,530,630,540,610,NA,NA,Virginia
George Mason,520,620,530,630,NA,NA,Virginia
Hampden-Sydney,490,620,510,615,470,580,Virginia
Hollins,500,650,460,590,NA,NA,Virginia
James Madison,520,620,530,620,520,610,Virginia
Longwood,470,560,470,550,NA,NA,Virginia
Mary Washington,520,630,510,600,510,610,Virginia
Randolph,480,610,490,610,460,590,Virginia
Randolph-Macon,500,590,490,600,480,580,Virginia
Richmond,580,700,620,720,590,690,Virginia
Roanoke,490,600,480,600,480,590,Virginia
Sweet Briar,490,610,450,570,460,590,Virginia
Virginia,620,720,640,740,630,730,Virginia
Virginia Military Institute,520,620,540,620,490,590,Virginia
Virginia Tech,540,640,570,680,540,640,Virginia
Washington and Lee,650,740,650,740,650,730,Virginia
William and Mary,630,740,620,720,620,720,Virginia
Evergreen State College,510,640,460,590,470,600,Washington
Gonzaga University,550,700,560,690,NA,NA,Washington
Pacific Lutheran University,480,610,490,610,470,610,Washington
Seattle Pacific University,500,620,500,610,500,600,Washington
Seattle University,530,640,540,640,530,630,Washington
University of Puget Sound,570,688,580,660,NA,NA,Washington
University of Washington,510,650,570,700,520,640,Washington
Washington State University,460,570,470,600,450,550,Washington
Western Washington University,510,620,510,610,480,600,Washington
Whitman College,610,730,610,700,620,720,Washington
Whitworth University,NA,NA,NA,NA,NA,NA,Washington
Alderson Broaddus College,420,510,440,520,390,480,West Virginia
Appalachian Bible College,500,630,415,550,NA,NA,West Virginia
Bethany College,380,480,390,510,360,470,West Virginia
Bluefield State College,405,595,405,515,NA,NA,West Virginia
Concord University,410,530,410,530,390,510,West Virginia
Davis & Elkins College,400,520,410,550,340,500,West Virginia
Fairmont State University,410,510,420,520,NA,NA,West Virginia
Glenville State College,350,450,370,460,NA,NA,West Virginia
Marshall University,450,550,440,560,430,550,West Virginia
Mountain State University,NA,NA,NA,NA,NA,NA,West Virginia
Ohio Valley University,420,530,480,570,420,510,West Virginia
Shepherd University,450,560,450,550,NA,NA,West Virginia
University of Charleston,430,530,440,540,NA,NA,West Virginia
West Liberty University,400,490,400,490,360,450,West Virginia
West Virginia State University,363,470,400,485,370,510,West Virginia
West Virginia University,470,570,480,590,NA,NA,West Virginia
West Virginia University at Parkersburg,NA,NA,NA,NA,NA,NA,West Virginia
West Virginia University Institute of Technology,410,530,440,560,NA,NA,West Virginia
West Virginia Wesleyan College,420,540,420,550,400,530,West Virginia
Wheeling Jesuit University,450,540,460,580,450,550,West Virginia
Beloit College,550,700,560,670,NA,NA,Wisconsin
Carroll University,NA,NA,NA,NA,NA,NA,Wisconsin
Lawrence University,NA,NA,NA,NA,NA,NA,Wisconsin
Marquette University,520,630,550,650,530,630,Wisconsin
Milwaukee School of Engineering,510,610,570,680,NA,NA,Wisconsin
Northland College,475,665,465,585,430,615,Wisconsin
Ripon College,500,610,530,630,NA,NA,Wisconsin
St. Norbert College,NA,NA,NA,NA,NA,NA,Wisconsin
UW-Eau Claire,NA,NA,NA,NA,NA,NA,Wisconsin
UW-Green Bay,NA,NA,NA,NA,NA,NA,Wisconsin
UW-La Crosse,NA,NA,NA,NA,NA,NA,Wisconsin
UW-Madison,550,670,620,740,590,680,Wisconsin
UW-Milwaukee,NA,NA,NA,NA,NA,NA,Wisconsin
UW-Oshkosh,NA,NA,NA,NA,NA,NA,Wisconsin
UW-Parkside,NA,NA,NA,NA,NA,NA,Wisconsin
UW-Platteville,NA,NA,NA,NA,NA,NA,Wisconsin
UW-River Falls,NA,NA,NA,NA,NA,NA,Wisconsin
UW-Stevens Point,NA,NA,NA,NA,NA,NA,Wisconsin
UW-Stout,NA,NA,NA,NA,NA,NA,Wisconsin
UW-Superior,NA,NA,NA,NA,NA,NA,Wisconsin
UW-Whitewater,440,560,490,550,410,570,Wisconsin
Wisconsin Lutheran College,508,655,495,630,NA,NA,Wisconsin
University of Wyoming,490,600,490,630,NA,NA,Wyoming