question_id,topic_1,topic_2,topic_3,topic_4,number,question_type,difficulty,mc_answer,fr_min,fr_max,mfr_1,mfr_2,mfr_3,mfr_4,mfr_5,section_id,book_test_id,section_number,subject,
1,61,0,0,0,1,multiple_choice,1,A,,,,,,,,1,1,2,CR,
2,61,0,0,0,2,multiple_choice,3,B,,,,,,,,1,1,2,CR,
3,61,0,0,0,3,multiple_choice,5,A,,,,,,,,1,1,2,CR,
4,61,0,0,0,4,multiple_choice,4,D,,,,,,,,1,1,2,CR,
5,61,0,0,0,5,multiple_choice,5,C,,,,,,,,1,1,2,CR,
6,22,0,0,0,6,multiple_choice,1,D,,,,,,,,1,1,2,CR,
7,12,0,0,0,7,multiple_choice,3,B,,,,,,,,1,1,2,CR,
8,53,0,0,0,8,multiple_choice,3,C,,,,,,,,1,1,2,CR,
9,10,0,0,0,9,multiple_choice,3,A,,,,,,,,1,1,2,CR,
10,53,0,0,0,10,multiple_choice,4,D,,,,,,,,1,1,2,CR,
11,10,0,0,0,11,multiple_choice,3,B,,,,,,,,1,1,2,CR,
12,22,0,0,0,12,multiple_choice,3,C,,,,,,,,1,1,2,CR,
13,55,0,0,0,13,multiple_choice,4,E,,,,,,,,1,1,2,CR,
14,55,0,0,0,14,multiple_choice,2,E,,,,,,,,1,1,2,CR,
15,12,0,0,0,15,multiple_choice,5,B,,,,,,,,1,1,2,CR,
16,10,0,0,0,16,multiple_choice,2,C,,,,,,,,1,1,2,CR,
17,22,0,0,0,17,multiple_choice,3,A,,,,,,,,1,1,2,CR,
18,22,0,0,0,18,multiple_choice,3,E,,,,,,,,1,1,2,CR,
19,22,0,0,0,19,multiple_choice,3,B,,,,,,,,1,1,2,CR,
20,10,0,0,0,20,multiple_choice,3,A,,,,,,,,1,1,2,CR,
21,62,0,0,0,21,multiple_choice,3,D,,,,,,,,1,1,2,CR,
22,10,0,0,0,22,multiple_choice,4,E,,,,,,,,1,1,2,CR,
23,22,0,0,0,23,multiple_choice,4,E,,,,,,,,1,1,2,CR,
24,53,0,0,0,24,multiple_choice,4,C,,,,,,,,1,1,2,CR,
25,48,0,0,0,1,multiple_choice,1,A,,,,,,,,2,1,3,M,
26,48,0,0,0,2,multiple_choice,1,E,,,,,,,,2,1,3,M,
27,3,48,0,0,3,multiple_choice,1,B,,,,,,,,2,1,3,M,
28,64,0,0,0,4,multiple_choice,2,D,,,,,,,,2,1,3,M,
29,24,0,0,0,5,multiple_choice,1,C,,,,,,,,2,1,3,M,
30,64,0,0,0,6,multiple_choice,2,C,,,,,,,,2,1,3,M,
31,63,0,0,0,7,multiple_choice,2,D,,,,,,,,2,1,3,M,
32,4,0,0,0,8,multiple_choice,2,D,,,,,,,,2,1,3,M,
33,30,0,0,0,9,multiple_choice,3,D,,,,,,,,2,1,3,M,
34,2,0,0,0,10,multiple_choice,2,C,,,,,,,,2,1,3,M,
35,15,0,0,0,11,multiple_choice,3,B,,,,,,,,2,1,3,M,
36,23,0,0,0,12,multiple_choice,3,D,,,,,,,,2,1,3,M,
37,44,0,0,0,13,multiple_choice,3,E,,,,,,,,2,1,3,M,
38,48,14,0,0,14,multiple_choice,3,E,,,,,,,,2,1,3,M,
39,64,46,1,0,15,multiple_choice,3,B,,,,,,,,2,1,3,M,
40,54,63,0,0,16,multiple_choice,3,A,,,,,,,,2,1,3,M,
41,42,19,0,0,17,multiple_choice,4,C,,,,,,,,2,1,3,M,
42,17,0,0,0,18,multiple_choice,4,D,,,,,,,,2,1,3,M,
43,48,38,0,0,19,multiple_choice,5,A,,,,,,,,2,1,3,M,
44,15,63,0,0,20,multiple_choice,5,A,,,,,,,,2,1,3,M,
45,61,0,0,0,1,multiple_choice,1,C,,,,,,,,3,1,5,CR,
46,61,0,0,0,2,multiple_choice,1,B,,,,,,,,3,1,5,CR,
47,61,0,0,0,3,multiple_choice,1,C,,,,,,,,3,1,5,CR,
48,61,0,0,0,4,multiple_choice,3,A,,,,,,,,3,1,5,CR,
49,61,0,0,0,5,multiple_choice,3,D,,,,,,,,3,1,5,CR,
50,61,0,0,0,6,multiple_choice,4,B,,,,,,,,3,1,5,CR,
51,61,0,0,0,7,multiple_choice,5,D,,,,,,,,3,1,5,CR,
52,61,0,0,0,8,multiple_choice,5,C,,,,,,,,3,1,5,CR,
53,10,0,0,0,9,multiple_choice,4,A,,,,,,,,3,1,5,CR,
54,22,0,0,0,10,multiple_choice,3,B,,,,,,,,3,1,5,CR,
55,22,0,0,0,11,multiple_choice,4,E,,,,,,,,3,1,5,CR,
56,22,0,0,0,12,multiple_choice,5,C,,,,,,,,3,1,5,CR,
57,62,0,0,0,13,multiple_choice,2,D,,,,,,,,3,1,5,CR,
58,22,0,0,0,14,multiple_choice,4,D,,,,,,,,3,1,5,CR,
59,10,0,0,0,15,multiple_choice,1,E,,,,,,,,3,1,5,CR,
60,22,0,0,0,16,multiple_choice,5,E,,,,,,,,3,1,5,CR,
61,22,0,0,0,17,multiple_choice,3,B,,,,,,,,3,1,5,CR,
62,55,0,0,0,18,multiple_choice,3,E,,,,,,,,3,1,5,CR,
63,22,0,0,0,19,multiple_choice,4,A,,,,,,,,3,1,5,CR,
64,62,0,0,0,20,multiple_choice,3,D,,,,,,,,3,1,5,CR,
65,55,0,0,0,21,multiple_choice,3,A,,,,,,,,3,1,5,CR,
66,12,0,0,0,22,multiple_choice,2,C,,,,,,,,3,1,5,CR,
67,22,0,0,0,23,multiple_choice,3,E,,,,,,,,3,1,5,CR,
68,22,0,0,0,24,multiple_choice,3,E,,,,,,,,3,1,5,CR,
69,43,0,0,0,1,multiple_choice,1,C,,,,,,,,4,1,6,W,
70,59,0,0,0,2,multiple_choice,1,C,,,,,,,,4,1,6,W,
71,36,0,0,0,3,multiple_choice,1,B,,,,,,,,4,1,6,W,
72,59,0,0,0,4,multiple_choice,1,C,,,,,,,,4,1,6,W,
73,6,0,0,0,5,multiple_choice,2,E,,,,,,,,4,1,6,W,
74,28,0,0,0,6,multiple_choice,2,A,,,,,,,,4,1,6,W,
75,26,0,0,0,7,multiple_choice,2,D,,,,,,,,4,1,6,W,
76,28,0,0,0,8,multiple_choice,3,A,,,,,,,,4,1,6,W,
77,31,6,0,0,9,multiple_choice,3,E,,,,,,,,4,1,6,W,
78,33,26,52,0,10,multiple_choice,3,C,,,,,,,,4,1,6,W,
79,31,6,0,0,11,multiple_choice,5,E,,,,,,,,4,1,6,W,
80,29,0,0,0,12,multiple_choice,2,C,,,,,,,,4,1,6,W,
81,28,0,0,0,13,multiple_choice,2,E,,,,,,,,4,1,6,W,
82,7,0,0,0,14,multiple_choice,1,A,,,,,,,,4,1,6,W,
83,59,0,0,0,15,multiple_choice,2,C,,,,,,,,4,1,6,W,
84,60,0,0,0,16,multiple_choice,3,D,,,,,,,,4,1,6,W,
85,7,0,0,0,17,multiple_choice,3,C,,,,,,,,4,1,6,W,
86,27,0,0,0,18,multiple_choice,3,A,,,,,,,,4,1,6,W,
87,51,0,0,0,19,multiple_choice,3,C,,,,,,,,4,1,6,W,
88,28,0,0,0,20,multiple_choice,3,E,,,,,,,,4,1,6,W,
89,5,0,0,0,21,multiple_choice,3,B,,,,,,,,4,1,6,W,
90,28,0,0,0,22,multiple_choice,3,E,,,,,,,,4,1,6,W,
91,52,0,0,0,23,multiple_choice,3,C,,,,,,,,4,1,6,W,
92,28,0,0,0,24,multiple_choice,4,E,,,,,,,,4,1,6,W,
93,60,60,0,0,25,multiple_choice,3,C,,,,,,,,4,1,6,W,
94,51,0,0,0,26,multiple_choice,4,D,,,,,,,,4,1,6,W,
95,28,0,0,0,27,multiple_choice,5,E,,,,,,,,4,1,6,W,
96,52,0,0,0,28,multiple_choice,4,D,,,,,,,,4,1,6,W,
97,5,0,0,0,29,multiple_choice,5,D,,,,,,,,4,1,6,W,
98,32,0,0,0,30,multiple_choice,2,C,,,,,,,,4,1,6,W,
99,32,0,0,0,31,multiple_choice,3,C,,,,,,,,4,1,6,W,
100,32,0,0,0,32,multiple_choice,5,E,,,,,,,,4,1,6,W,
101,32,0,0,0,33,multiple_choice,2,C,,,,,,,,4,1,6,W,
102,32,0,0,0,34,multiple_choice,3,D,,,,,,,,4,1,6,W,
103,32,0,0,0,35,multiple_choice,4,B,,,,,,,,4,1,6,W,
104,23,0,0,0,1,multiple_choice,1,E,,,,,,,,5,1,7,M,
105,2,0,0,0,2,multiple_choice,1,B,,,,,,,,5,1,7,M,
106,54,0,0,0,3,multiple_choice,2,E,,,,,,,,5,1,7,M,
107,14,48,0,0,4,multiple_choice,2,D,,,,,,,,5,1,7,M,
108,4,42,0,0,5,multiple_choice,3,A,,,,,,,,5,1,7,M,
109,64,17,46,0,6,multiple_choice,3,C,,,,,,,,5,1,7,M,
110,38,0,0,0,7,multiple_choice,3,E,,,,,,,,5,1,7,M,
111,15,0,0,0,8,multiple_choice,5,C,,,,,,,,5,1,7,M,
112,48,13,0,0,9,free_response,1,0,9,9,,,,,,5,1,7,M,
113,34,0,0,0,10,free_response,2,0,0.2,0.2,,,,,,5,1,7,M,
114,11,0,0,0,11,free_response,2,0,15,15,,,,,,5,1,7,M,
115,30,0,0,0,12,free_response,3,0,0,1.5,,,,,,5,1,7,M,
116,48,15,0,0,13,free_response,3,0,6,6,,,,,,5,1,7,M,
117,44,0,0,0,14,free_response,4,0,117,117,,,,,,5,1,7,M,
118,48,1,0,0,15,free_response,3,0,2.5,2.5,,,,,,5,1,7,M,
119,54,0,0,0,16,free_response,4,0,5940,5940,,,,,,5,1,7,M,
120,38,0,0,0,17,free_response,4,0,90,90,,,,,,5,1,7,M,
121,64,17,0,0,18,free_response,5,0,4.2,4.2,,,,,,5,1,7,M,
122,23,0,0,0,1,multiple_choice,1,D,,,,,,,,6,1,8,M,
123,4,38,0,0,2,multiple_choice,1,E,,,,,,,,6,1,8,M,
124,38,0,0,0,3,multiple_choice,1,A,,,,,,,,6,1,8,M,
125,64,0,0,0,4,multiple_choice,2,C,,,,,,,,6,1,8,M,
126,24,0,0,0,5,multiple_choice,1,B,,,,,,,,6,1,8,M,
127,48,2,19,0,6,multiple_choice,3,E,,,,,,,,6,1,8,M,
128,3,0,0,0,7,multiple_choice,3,A,,,,,,,,6,1,8,M,
129,48,13,0,0,8,multiple_choice,3,B,,,,,,,,6,1,8,M,
130,64,0,0,0,9,multiple_choice,3,B,,,,,,,,6,1,8,M,
131,63,0,0,0,10,multiple_choice,3,B,,,,,,,,6,1,8,M,
132,47,0,0,0,11,multiple_choice,3,A,,,,,,,,6,1,8,M,
133,30,0,0,0,12,multiple_choice,4,B,,,,,,,,6,1,8,M,
134,25,0,0,0,13,multiple_choice,3,D,,,,,,,,6,1,8,M,
135,18,0,0,0,14,multiple_choice,4,E,,,,,,,,6,1,8,M,
136,49,15,0,0,15,multiple_choice,5,E,,,,,,,,6,1,8,M,
137,48,17,0,0,16,multiple_choice,4,B,,,,,,,,6,1,8,M,
138,61,0,0,0,1,multiple_choice,1,B,,,,,,,,7,1,9,CR,
139,61,0,0,0,2,multiple_choice,1,C,,,,,,,,7,1,9,CR,
140,61,0,0,0,3,multiple_choice,2,B,,,,,,,,7,1,9,CR,
141,61,0,0,0,4,multiple_choice,4,E,,,,,,,,7,1,9,CR,
142,61,0,0,0,5,multiple_choice,5,B,,,,,,,,7,1,9,CR,
143,61,0,0,0,6,multiple_choice,5,D,,,,,,,,7,1,9,CR,
144,53,0,0,0,7,multiple_choice,2,C,,,,,,,,7,1,9,CR,
145,22,0,0,0,8,multiple_choice,2,C,,,,,,,,7,1,9,CR,
146,10,0,0,0,9,multiple_choice,2,E,,,,,,,,7,1,9,CR,
147,22,0,0,0,10,multiple_choice,1,E,,,,,,,,7,1,9,CR,
148,10,0,0,0,11,multiple_choice,4,A,,,,,,,,7,1,9,CR,
149,22,0,0,0,12,multiple_choice,3,B,,,,,,,,7,1,9,CR,
150,22,0,0,0,13,multiple_choice,3,D,,,,,,,,7,1,9,CR,
151,22,0,0,0,14,multiple_choice,5,A,,,,,,,,7,1,9,CR,
152,22,0,0,0,15,multiple_choice,2,D,,,,,,,,7,1,9,CR,
153,22,0,0,0,16,multiple_choice,3,B,,,,,,,,7,1,9,CR,
154,22,0,0,0,17,multiple_choice,3,C,,,,,,,,7,1,9,CR,
155,53,0,0,0,18,multiple_choice,3,B,,,,,,,,7,1,9,CR,
156,10,0,0,0,19,multiple_choice,3,B,,,,,,,,7,1,9,CR,
157,52,0,0,0,1,multiple_choice,1,D,,,,,,,,8,1,10,W,
158,26,0,0,0,2,multiple_choice,1,C,,,,,,,,8,1,10,W,
159,29,0,0,0,3,multiple_choice,3,B,,,,,,,,8,1,10,W,
160,57,0,0,0,4,multiple_choice,2,E,,,,,,,,8,1,10,W,
161,26,0,0,0,5,multiple_choice,3,C,,,,,,,,8,1,10,W,
162,8,0,0,0,6,multiple_choice,3,E,,,,,,,,8,1,10,W,
163,8,0,0,0,7,multiple_choice,2,D,,,,,,,,8,1,10,W,
164,26,0,0,0,8,multiple_choice,3,E,,,,,,,,8,1,10,W,
165,59,0,0,0,9,multiple_choice,3,E,,,,,,,,8,1,10,W,
166,28,0,0,0,10,multiple_choice,3,A,,,,,,,,8,1,10,W,
167,8,0,0,0,11,multiple_choice,3,D,,,,,,,,8,1,10,W,
168,31,0,0,0,12,multiple_choice,4,D,,,,,,,,8,1,10,W,
169,52,0,0,0,13,multiple_choice,4,C,,,,,,,,8,1,10,W,
170,31,6,0,0,14,multiple_choice,5,E,,,,,,,,8,1,10,W,
171,44,0,0,0,1,multiple_choice,1,D,,,,,,,,9,2,2,M,
172,15,0,0,0,2,multiple_choice,1,A,,,,,,,,9,2,2,M,
173,23,0,0,0,3,multiple_choice,1,A,,,,,,,,9,2,2,M,
174,4,2,0,0,4,multiple_choice,3,C,,,,,,,,9,2,2,M,
175,56,0,0,0,5,multiple_choice,2,D,,,,,,,,9,2,2,M,
176,48,0,0,0,6,multiple_choice,2,D,,,,,,,,9,2,2,M,
177,37,0,0,0,7,multiple_choice,2,A,,,,,,,,9,2,2,M,
178,49,0,0,0,8,multiple_choice,2,B,,,,,,,,9,2,2,M,
179,48,13,0,0,9,multiple_choice,2,D,,,,,,,,9,2,2,M,
180,15,38,2,0,10,multiple_choice,3,E,,,,,,,,9,2,2,M,
181,23,46,17,0,11,multiple_choice,2,D,,,,,,,,9,2,2,M,
182,23,0,0,0,12,multiple_choice,3,A,,,,,,,,9,2,2,M,
183,45,0,0,0,13,multiple_choice,3,C,,,,,,,,9,2,2,M,
184,13,63,0,0,14,multiple_choice,3,E,,,,,,,,9,2,2,M,
185,58,0,0,0,15,multiple_choice,4,B,,,,,,,,9,2,2,M,
186,37,0,0,0,16,multiple_choice,3,D,,,,,,,,9,2,2,M,
187,64,1,0,0,17,multiple_choice,3,B,,,,,,,,9,2,2,M,
188,63,47,0,0,18,multiple_choice,4,B,,,,,,,,9,2,2,M,
189,13,54,0,0,19,multiple_choice,4,E,,,,,,,,9,2,2,M,
190,19,64,0,0,20,multiple_choice,5,E,,,,,,,,9,2,2,M,
191,61,0,0,0,1,multiple_choice,1,C,,,,,,,,10,2,4,CR,
192,61,0,0,0,2,multiple_choice,1,B,,,,,,,,10,2,4,CR,
193,61,0,0,0,3,multiple_choice,3,A,,,,,,,,10,2,4,CR,
194,61,0,0,0,4,multiple_choice,3,B,,,,,,,,10,2,4,CR,
195,61,0,0,0,5,multiple_choice,3,E,,,,,,,,10,2,4,CR,
196,61,0,0,0,6,multiple_choice,5,A,,,,,,,,10,2,4,CR,
197,61,0,0,0,7,multiple_choice,5,A,,,,,,,,10,2,4,CR,
198,61,0,0,0,8,multiple_choice,5,A,,,,,,,,10,2,4,CR,
199,22,0,0,0,9,multiple_choice,3,D,,,,,,,,10,2,4,CR,
200,55,0,0,0,10,multiple_choice,5,C,,,,,,,,10,2,4,CR,
201,22,0,0,0,11,multiple_choice,3,C,,,,,,,,10,2,4,CR,
202,10,0,0,0,12,multiple_choice,2,A,,,,,,,,10,2,4,CR,
203,22,0,0,0,13,multiple_choice,3,B,,,,,,,,10,2,4,CR,
204,22,0,0,0,14,multiple_choice,2,C,,,,,,,,10,2,4,CR,
205,22,0,0,0,15,multiple_choice,4,D,,,,,,,,10,2,4,CR,
206,62,0,0,0,16,multiple_choice,3,E,,,,,,,,10,2,4,CR,
207,10,0,0,0,17,multiple_choice,3,E,,,,,,,,10,2,4,CR,
208,55,0,0,0,18,multiple_choice,3,A,,,,,,,,10,2,4,CR,
209,55,0,0,0,19,multiple_choice,4,E,,,,,,,,10,2,4,CR,
210,10,0,0,0,20,multiple_choice,3,B,,,,,,,,10,2,4,CR,
211,22,0,0,0,21,multiple_choice,2,A,,,,,,,,10,2,4,CR,
212,62,0,0,0,22,multiple_choice,1,A,,,,,,,,10,2,4,CR,
213,55,0,0,0,23,multiple_choice,5,D,,,,,,,,10,2,4,CR,
214,10,0,0,0,24,multiple_choice,3,C,,,,,,,,10,2,4,CR,
215,12,0,0,0,25,multiple_choice,3,C,,,,,,,,10,2,4,CR,
216,48,0,0,0,1,multiple_choice,1,B,,,,,,,,11,2,5,M,
217,4,15,0,0,2,multiple_choice,1,E,,,,,,,,11,2,5,M,
218,3,0,0,0,3,multiple_choice,2,D,,,,,,,,11,2,5,M,
219,34,0,0,0,4,multiple_choice,2,C,,,,,,,,11,2,5,M,
220,21,0,0,0,5,multiple_choice,2,E,,,,,,,,11,2,5,M,
221,46,15,0,0,6,multiple_choice,3,A,,,,,,,,11,2,5,M,
222,17,0,0,0,7,multiple_choice,3,B,,,,,,,,11,2,5,M,
223,18,0,0,0,8,multiple_choice,4,B,,,,,,,,11,2,5,M,
224,48,0,0,0,9,free_response,2,0,4.5,4.5,,,,,,11,2,5,M,
225,48,2,19,0,10,free_response,3,0,135,135,,,,,,11,2,5,M,
226,47,0,0,0,11,free_response,2,0,32,32,,,,,,11,2,5,M,
227,15,63,0,0,12,free_response,4,0,0.066,0.067,,,,,,11,2,5,M,
228,3,23,0,0,13,free_response,3,0,1750,1750,,,,,,11,2,5,M,
229,17,1,0,0,14,free_response,3,0,4.25,8.5,,,,,,11,2,5,M,
230,24,48,0,0,15,free_response,3,0,8,8,,,,,,11,2,5,M,
231,24,14,0,0,16,free_response,4,0,9,9,,,,,,11,2,5,M,
232,48,54,0,0,17,free_response,4,0,40,40,,,,,,11,2,5,M,
233,48,49,0,0,18,free_response,5,0,1.6,1.6,,,,,,11,2,5,M,
234,31,0,0,0,1,multiple_choice,1,D,,,,,,,,12,2,6,W,
235,16,0,0,0,2,multiple_choice,1,E,,,,,,,,12,2,6,W,
236,26,0,0,0,3,multiple_choice,1,C,,,,,,,,12,2,6,W,
237,8,0,0,0,4,multiple_choice,2,C,,,,,,,,12,2,6,W,
238,43,0,0,0,5,multiple_choice,1,B,,,,,,,,12,2,6,W,
239,36,16,0,0,6,multiple_choice,2,C,,,,,,,,12,2,6,W,
240,26,0,0,0,7,multiple_choice,3,C,,,,,,,,12,2,6,W,
241,28,0,0,0,8,multiple_choice,1,A,,,,,,,,12,2,6,W,
242,26,0,0,0,9,multiple_choice,3,D,,,,,,,,12,2,6,W,
243,28,0,0,0,10,multiple_choice,4,A,,,,,,,,12,2,6,W,
244,28,0,0,0,11,multiple_choice,4,A,,,,,,,,12,2,6,W,
245,50,0,0,0,12,multiple_choice,1,B,,,,,,,,12,2,6,W,
246,59,0,0,0,13,multiple_choice,1,D,,,,,,,,12,2,6,W,
247,59,0,0,0,14,multiple_choice,3,C,,,,,,,,12,2,6,W,
248,27,0,0,0,15,multiple_choice,3,B,,,,,,,,12,2,6,W,
249,59,0,0,0,16,multiple_choice,2,C,,,,,,,,12,2,6,W,
250,29,0,0,0,17,multiple_choice,3,D,,,,,,,,12,2,6,W,
251,51,0,0,0,18,multiple_choice,3,C,,,,,,,,12,2,6,W,
252,28,0,0,0,19,multiple_choice,2,E,,,,,,,,12,2,6,W,
253,52,0,0,0,20,multiple_choice,3,B,,,,,,,,12,2,6,W,
254,31,0,0,0,21,multiple_choice,3,C,,,,,,,,12,2,6,W,
255,52,0,0,0,22,multiple_choice,3,D,,,,,,,,12,2,6,W,
256,8,0,0,0,23,multiple_choice,3,A,,,,,,,,12,2,6,W,
257,28,0,0,0,24,multiple_choice,3,E,,,,,,,,12,2,6,W,
258,52,0,0,0,25,multiple_choice,4,C,,,,,,,,12,2,6,W,
259,8,0,0,0,26,multiple_choice,5,D,,,,,,,,12,2,6,W,
260,28,0,0,0,27,multiple_choice,4,E,,,,,,,,12,2,6,W,
261,57,0,0,0,28,multiple_choice,5,C,,,,,,,,12,2,6,W,
262,28,0,0,0,29,multiple_choice,5,E,,,,,,,,12,2,6,W,
263,32,0,0,0,30,multiple_choice,3,E,,,,,,,,12,2,6,W,
264,32,0,0,0,31,multiple_choice,2,C,,,,,,,,12,2,6,W,
265,32,0,0,0,32,multiple_choice,3,C,,,,,,,,12,2,6,W,
266,32,0,0,0,33,multiple_choice,4,A,,,,,,,,12,2,6,W,
267,32,0,0,0,34,multiple_choice,3,E,,,,,,,,12,2,6,W,
268,32,0,0,0,35,multiple_choice,4,B,,,,,,,,12,2,6,W,
269,61,0,0,0,1,multiple_choice,1,D,,,,,,,,13,2,7,CR,
270,61,0,0,0,2,multiple_choice,3,C,,,,,,,,13,2,7,CR,
271,61,0,0,0,3,multiple_choice,5,D,,,,,,,,13,2,7,CR,
272,61,0,0,0,4,multiple_choice,4,E,,,,,,,,13,2,7,CR,
273,61,0,0,0,5,multiple_choice,5,A,,,,,,,,13,2,7,CR,
274,22,0,0,0,6,multiple_choice,2,D,,,,,,,,13,2,7,CR,
275,10,0,0,0,7,multiple_choice,3,B,,,,,,,,13,2,7,CR,
276,53,0,0,0,8,multiple_choice,2,C,,,,,,,,13,2,7,CR,
277,22,0,0,0,9,multiple_choice,5,B,,,,,,,,13,2,7,CR,
278,53,0,0,0,10,multiple_choice,4,E,,,,,,,,13,2,7,CR,
279,22,0,0,0,11,multiple_choice,3,A,,,,,,,,13,2,7,CR,
280,22,0,0,0,12,multiple_choice,3,E,,,,,,,,13,2,7,CR,
281,22,0,0,0,13,multiple_choice,2,B,,,,,,,,13,2,7,CR,
282,22,0,0,0,14,multiple_choice,4,B,,,,,,,,13,2,7,CR,
283,55,0,0,0,15,multiple_choice,3,D,,,,,,,,13,2,7,CR,
284,62,0,0,0,16,multiple_choice,4,C,,,,,,,,13,2,7,CR,
285,22,0,0,0,17,multiple_choice,2,B,,,,,,,,13,2,7,CR,
286,22,0,0,0,18,multiple_choice,2,E,,,,,,,,13,2,7,CR,
287,55,0,0,0,19,multiple_choice,3,B,,,,,,,,13,2,7,CR,
288,22,0,0,0,20,multiple_choice,3,E,,,,,,,,13,2,7,CR,
